0004000000030500	ASSJ	スーパーストリートファイターIV 3D EDITION
000400000008C100	JSLE	3D Solitaire
0004000000096A00	GAGE	Sonic Blast™
0004000000043100	RANJ	カエルの為に鐘は鳴る
0004000000093E00	TATJ	スーパーマリオブラザーズ2
0004000000093B00	QAQJ	マリオゴルフGB
0004000000093700	RB7J	モグラ～ニャ
0004000000095400	JTBE	Touch Battle Tank 3D
0004000000082E00	RBUE	Tumble Pop™
00040000000A3800	MABP	The Incredible Barbazan: The Fire Juggler
0004000000093A00	RB8J	ネコジャラ物語
000400000009F400	JKFP	Johnny Kung Fu™
000400000007AF00	ABEP	New Super Mario Bros.™ 2
00040000000A7A00	JMRJ	@SIMPLE DLシリーズ Vol.4 THE 密室からの脱出 ～南国のリゾート編～
000400000009D800	QAUJ	女神転生外伝ラストバイブルⅡ
000400000009D700	RCBJ	熱血硬派くにおくん 番外乱闘編
00040000000A7D00	JSXP	SpeedX 3D
00040000000A3D00	MAGP	The Incredible Barbazan: The Human Cannonball 2
0004000000095300	JDNE	Dot Runner: Complete Edition
00040000000ADE00	JGDJ	脱出アドベンチャー 旧校舎の少女
0004000000093800	RB7E	Mole Mania™
0004000000087500	JMNE	Crazy Chicken Pirates 3D
0004000000092C00	JUEJ	行列ナゲループ
00040000000A3B00	MAEP	The Incredible Barbazan: The Knife Thrower
0004000000094D00	QARP	Toki Tori
0004000000047D00	ANCE	NCIS™ 3D BASED ON THE TV SERIES
00040000000AE100	NCGA	Pokémon™ Dream Radar
00040000000B1C00	MATE	Dinosaur Office Remix
000400000005C800	AQ8E	Crosswords Plus
000400000006F500	TAFP	Donkey Kong™ Original Edition
0004000E00078500	ADNJ	更新データ Ver. 1.2 ダンボール戦機 爆ブースト
00040000000AB400	JSJJ	「いつでも一緒に。」BLACKJACK
000400000008AB00	JBEJ	おきらくビーチバレー3D
0004000000085500	GAEJ	コラムス
00040000000A3C00	MAFP	The Incredible Barbazan: Raging Bull
0004000000090E00	ALHJ	ロストヒーローズ
0004000000091000	AHQJ	デビルサマナー ソウルハッカーズ
00040000000AC800	AHWJ	ぼくは航空管制官 エアポートヒーロー3D ホノルル
000400000009F600	AVHJ	閃乱カグラ Burst -紅蓮の少女達-
0004000000093900	RB7P	Mole Mania
00040000000A3F00	MAHP	The Incredible Barbazan: Up Your Sleeve
00040000000A5700	SNHK	3D 체험 영상
00040000000A5600	SNGW	3D體驗影像
00040000000A2100	AF7E	Disney/Pixar: Finding Nemo Escape to the Big Blue Edition
000400000009F300	AW3E	Wipeout 3
00040000000AE200	ANGE	Angry Birds™ Trilogy
000400000008B800	JBVE	VectorRacing
00040000000A2D00	AECE	Disney Epic Mickey: Power of Illusion
00040000000ADD00	JPDJ	ダンジョンRPG ピクダン2
0004000000088F00	JBQJ	ハイパーパドル ブロックラッシャー
000400000008CD00	JCVE	Sparkle Snapshots™ 3D 
0004000000095800	AACE	Art Academy™: Lessons for Everyone!
00040000000A9100	ACLE	Style Savvy: Trendsetters
00040000000A8500	AKKE	Professor Layton and the Miracle Mask™ 
0004000000091D00	AG6E	Skylanders Giants™
00040000000AE500	JAFE	Outdoors Unleashed: Africa 3D
0004000000087A00	JSXE	SpeedX 3D
000400000009D600	JDTJ	ドラゴンクエストⅩ 冒険者のおでかけ便利ツール
0004000000090A00	ABZP	Boulder Dash-XL 3D
00040000000AF400	ANGP	Angry Birds™ Trilogy
0004000000097900	ASZP	Shifting World
0004000000048700	AM4E	Monster 4x4 3D
0004000000080400	JMXJ	ケモノミクス+
00040000000ACD00	AU2J	パチパラ3D 大海物語2 With アグネス･ラム ～パチプロ風雲録･花 消されたライセンス～
0004000000095700	AACJ	新 絵心教室
0004000000093F00	TAUJ	マイティボンジャック
00040000000AB900	JHBJ	ハングリーバーガー
0004000000099100	TA3J	超惑星戦記メタファイト
0004000000098E00	TAZJ	サラダの国のトマト姫
00040000000B6700	JH7J	毎度 花札
00040000000A8C00	AK8J	哭牙 KOKUGA
0004000000065B00	AQBJ	メダロット7 カブト Ver.
0004000000065A00	AQWJ	メダロット7 クワガタ Ver.
00040000000A9200	JEXP	PICROSS e
00040000000AA800	JFDE	Fractured Soul
0004000000092900	JHTE	Hitori by Nikoli
0004000000092A00	JNKE	Nurikabe by Nikoli
0004000000087700	JNSE	NightSky
00040000000AA100	JRBE	Rising Board 3D
0004000000080E00	ANRK	스타폭스 64 3D
0004000000094C00	QARE	Toki Tori
000400000009C900	AHEE	Spy Hunter™
00040000000A8300	JB9E	Balloon Pop® Remix
0004000000092800	JHWE	Heyawake by Nikoli
000400000007FE00	ATPE	TRANSFORMERS PRIME™ The Game
00040000000A4D00	AZCJ	戦国無双 Chronicle 2nd
00040000000A7300	AB5E	Bratz®: Fashion Boutique
00040000000B0600	ATZE	The Trash Pack™ 
00040000000B9300	SNWJ	[Nintendo Direct 2012.8.29] BRAVELY DEFAULT
00040000000B9400	SNXJ	[Nintendo Direct 2012.8.29] PROJECT X ZONE
00040000000A2C00	AC7E	Code of Princess™
00040000000AE300	ALYE	Lalaloopsy™:  Carnival of Friends
00040000000B6800	JSCJ	クルりんスッシー
00040000000A1E00	AD8J	ちび☆デビ!
0004000000073900	AXXJ	PROJECT X ZONE
0004000000092B00	AQ7J	リズムハンター ハーモナイト
00040000000AAF00	JHFE	Heavy Fire: Special Operations 3D
0004000E00074600	ATWJ	更新データ Ver. 1.1 DQM テリーのワンダーランド3D
00040000000A7E00	JKGP	Crazy Kangaroo
00040000000AB800	JKNJ	@SIMPLE DLシリーズ Vol.5 THE 呪いの廃病院 ～閉じ込められた顔のない少女～
000400000005D100	ACLJ	わがままファッション GIRLS MODE よくばり宣言! トキメキUP!
0004000000091300	ATQJ	大盛り! いきものづくり クリエイトーイ
00040000000A8800	AKKF	Professeur Layton et le masque des miracles
00040000000A8B00	AKKH	Professor Layton en het Masker der Wonderen
00040000000A8A00	AKKI	Il professor Layton e la maschera dei miracoli
00040000000A8600	AKKP	Professor Layton and the Miracle Mask
00040000000A8900	AKKS	El profesor Layton y la máscara de los prodigios
00040000000A8700	AKKD	Professor Layton und die Maske der Wunder
000400000008FB00	AM7P	MYST
000400000007E400	RBRE	MYSTICAL NINJA starring GOEMON
00040000000A2000	JBHJ	鷹狩王
00040000000B7D00	JC7J	戦国無双 Chronicle 2nd セーブデータ引き継ぎソフト
00040000000B3700	JF2J	Fun! Fun! Minigolf TOUCH!
00040000000AB300	AHZJ	ハローキティといっしょ! ブロッククラッシュZ
0004000000053700	ALTJ	エクストルーパーズ
00040000000AAD00	JAUJ	引ク落ツ
00040000000BB500	JPQJ	クラブニンテンドーピクロス
00040000000AB100	AA9P	Moshi Monsters™ Moshlings™ Theme Park
00040000000B5100	ALAD	LEGO® Der Herr Der Ringe™
000400000007AA00	ALAP	LEGO® The Lord of the Rings™
00040000000B5000	ALAF	LEGO® Le Seigneur des Anneaux™
00040000000A9900	JMNP	Moorhuhn Piraten 3D
0004000000055A00	ACZP	The Cube
00040000000B0E00	JDNP	Dot Runner: Complete Edition
00040000000B4700	JEBJ	どこでも本屋さん
0004000000098100	GAPJ	G-LOC AIR BATTLE
00040000000B1000	JHFP	Heavy Fire: Special Operations 3D
00040000000A0C00	TBCJ	ロックマン3 Dr.ワイリーの最期!?
00040000000A7900	JD2J	電波人間のRPG2
0004000000089000	JSPJ	疾風のうさぎ丸 -恵みの珠と封魔の印-
000400000009DD00	TA9J	ディグダグ
00040000000A3100	JD8E	THE "DENPA" MEN They Came By Wave
00040000000A5E00	AG5E	Paper Mario™: Sticker Star
0004000E00036F00	ASUJ	更新データ Ver. 1.1 花といきもの立体図鑑
00040000000BE200	SN3E	Dinosaur Office
00040000000B0A00	AECP	Disney Epic Mickey: Power of Illusion
0004000000047800	AF3E	Imagine® Fashion Life
00040000000A5800	AA9E	Moshi Monsters™: Moshlings™ Theme Park
0004000000050700	RA5E	Dr. Mario™
0004000000055400	AR5E	Rabbids® Rumble
000400000009B300	JD9E	Cave Story
00040000000BE300	SN4E	Kid Icarus: Uprising™ – Gameplay Trailer Montage in 3D
00040000000A5D00	AG5J	ペーパーマリオ スーパーシール
000400000008F800	AQEK	젤다의 전설™ 시간의 오카리나 3D
000400000009FF00	ABRK	바이오하자드 레벌레이션스
00040000000A7100	JB9P	Balloon Pop® Remix
00040000000A4500	TBJJ	ドンキーコング
00040000000AF300	JSGE	Samurai G™
00040000000B9200	SNVJ	[TOKYO GAME SHOW 2012] モンスターハンター4
0004000E00039A00	ACBJ	更新データ Ver. 1.1 カルドセプト®
000400000009DA00	TA8J	悪魔城ドラキュラ
000400000009E000	TBAJ	SUPER魂斗羅
00040000000B0B00	AECX	Disney Epic Mickey: Power of Illusion
000400000007E100	RBQE	Quarth®
0004000000096700	AKGE	Zero Escape: Virtue's Last Reward
000400000004C300	ABAE	Imagine® Babyz®
000400000008B400	AMKW	瑪利歐賽車7
00040000000A0000	ABRW	BIOHAZARD REVELATIONS
000400000008F900	AQEW	薩爾達傳說 時之笛 3D
000400000009CF00	AK9K	열혈경파 쿠니오군 스페셜
000400000008EE00	ATPP	TRANSFORMERS PRIME™ The Game
000400000009FA00	ATQE	Freakyforms™ Deluxe: Your Creations Alive!
00040000000AE000	JA2E	Fluidity: Spin Cycle 
00040000000A7600	AWTJ	ワールドサッカー ウイニングイレブン 2013
00040000000A2600	AH8E	Hotel Transylvania
0004000000092400	JKGE	Crazy Kangaroo
0004000E00074500	AJGJ	更新データ Ver. 1.1 探偵 神宮寺三郎 復讐の輪舞
0004000E00053600	AP5J	更新データ Ver. 1.1 ペンギンの問題 ザ･ウォ―ズ
00040000000BC600	JLLP	Hana Samurai Art of the Sword™
00040000000A7700	AKBJ	AKB48+Me
00040000000BC100	JKSP	LIBERATION MAIDEN™
00040000000A7B00	AJYJ	ジュエルペット 魔法でおしゃれにダンス☆デコ～!
0004000000055900	AR5P	Rabbids® Rumble
000400000006F400	TAFE	Donkey Kong™ Original Edition
00040000000A0F00	TBDJ	ロックマン4 新たなる野望!!
0004000000092100	AB6P	Bowling Bonanza 3D
0004000000093C00	QAQE	Mario Golf™
000400000007A900	ALAE	LEGO® The Lord of the Rings™
0004000000031900	ADCK	nintendogs + cats 푸들 & NEW친구들
0004000000031400	ADBK	nintendogs + cats 프렌치 불 & NEW친구들
0004000000030F00	ADAK	nintendogs + cats 시바 이누 & NEW친구들
0004000E0004B700	AHTJ	更新データ Ver. 1.1 G1グランプリ 
00040000000BBE00	JKSE	LIBERATION MAIDEN™
0004000000064400	JGLJ	おきらくゴルフ3D
00040000000A7800	AEKJ	アイカツ!シンデレラレッスン
00040000000A9800	AN9J	nicola監修 モデル☆おしゃれ オーディション プラチナ
000400000008A900	JMAP	Mad Dog McCree™
0004000000094500	TAWP	MEGA MAN™
0004000000094A00	TAYE	Gradius®
0004000E000A4D00	AZCJ	更新データ Ver. 1.1 戦国無双 Chronicle 2nd
00040000000B1B00	AH8P	Hotel Transsilvanien
00040000000A8100	AHLE	Hello Kitty Picnic with Sanrio Friends
000400000007DE00	RBPE	Castlevania: The Adventure
0004000000097200	JT4E	2 Fast 4 Gnomz
00040000000A6100	TBMJ	スーパーマリオUSA
00040000000C1200	GAUJ	ソニック･ザ･ヘッジホッグ2
00040000000A4A00	TBLJ	スターソルジャー
0004000000083900	ADPE	Disney Princess: My Fairytale  Adventure
00040000000A5900	ABQE	Harvest Moon® 3D: A New Beginning
000400000009F200	AD4E	Adventure Time: Hey Ice King why'd you steal our garbage?!!
00040000000B0400	ARGE	Rise of the Guardians: The Video Game
000400000006E100	JBTJ	超高層建造計画 ビルディンガー
00040000000B3600	ABVP	BEN 10: Omniverse™
00040000000B6E00	JAUE	Crashmo™
0004000000094100	TAUP	MIGHTY BOMB JACK™
0004000000094B00	TAYP	GRADIUS
00040000000B8900	ABEK	뉴 슈퍼 마리오브라더스 2
00040000000B4500	MA2P	Breakthru Films - Fat Hamster
00040000000B3F00	MAVP	Breakthru Films - Magical Dance
00040000000B4100	MAXP	Breakthru Films - Little Postman
00040000000B3E00	MAUP	Breakthru Films - Transformation
00040000000B4200	MAYP	Breakthru Films - Papa's Boy
00040000000B4300	MAZP	Breakthru Films - Spirits of the Piano
00040000000B4000	MAWP	Breakthru Films - Scarecrow
00040000000A2B00	AF8P	EA SPORTS FIFA 13
00040000000A3E00	TBGJ	忍者じゃじゃ丸くん
00040000000B3800	ADZJ	でんぢゃらすじーさんと1000人の お友だち邪
0004000000085400	GADJ	ソニックドリフト2
00040000000A1100	TBEJ	ロックマン5 ブルースの罠!?
00040000000ADA00	ANAJ	ピカピカナース物語2
00040000000B9500	SNYJ	[Nintendo Direct 2012.10.25] エクストルーパーズ
0004000000086200	EGDJ	とびだせ どうぶつの森
0004000000099500	TA4E	Ghosts'n Goblins™
0004000E00043700	ASRJ	更新データ Ver. 1.1 東北大学加齢医学研究所 川島隆太教授監修 ものすごく脳を鍛える 5分間の鬼トレーニング
00040000000B7700	JDPE	Dress To Play: Cute Witches!
00040000000B7A00	JHHE	Johnny Hotshot™
00040000000AEB00	AKGP	Virtue's Last Reward
00040000000B7500	JMSP	Monster Shooter
00040000000AF200	JSGP	Samurai G™
00040000000A9000	ACLP	Nintendo presents New Style Boutique™
0004000000092500	JMSE	Monster Shooter
00040000000BF900	JP4J	ぷよぷよ!!ミニバージョン
0004000000078B00	AVSJ	レイトン教授VS逆転裁判
00040000000A7400	AUXJ	アンチェインブレイズ エクシヴ
00040000000A1A00	AQCJ	おうちまいにち たまごっち
00040000000AFE00	AN4J	NARUTO-ナルト-SD パワフル疾風伝
000400000007C200	AM7E	Myst
0004000000038600	ASLE	Scribblenauts™ Unlimited
00040000000AD400	JA2J	ぐるっとスプラッシュ!
00040000000B0D00	JRBP	Rising Board 3D
00040000000B6B00	JM6J	@SIMPLE DLシリーズ Vol.6 THE 密室からの脱出 ～遊びの天国クマドナルボウル編～
00040000000C1E00	AKCJ	かわいい子猫3D
00040000000C1000	AG2E	3D MahJongg
000400000009A000	TA6E	PAC-MAN®
0004000000097100	AWRE	Wreck-it Ralph
00040000000C8500	JKSJ	解放少女
0004000000095000	APDJ	ポケモン不思議のダンジョン ～マグナゲートと∞迷宮～
00040000000B4F00	JAUP	Fallblox™
00040000000A5F00	AG5P	Paper Mario™: Sticker Star
00040000000B3500	ALLE	Sonic & All-Stars Racing Transformed
0004000000094800	TAXP	NINJA GAIDEN®
00040000000B1A00	JPXP	PIX3D
00040000000B4900	JHHP	Johnny Hotshot™
0004000000099A00	TA5P	MEGA MAN™ 2
0004000000094F00	TATP	Super Mario Bros.: The Lost Levels Super Mario Bros. 2 (JPN)
00040000000BCC00	JUEP	TOKYO CRASH MOBS™
00040000000BC300	JCZP	CRIMSON SHROUD™ 
0004000000093D00	QAQP	Mario Golf™
00040000000A1F00	JTYJ	AZITO 3D Tokyo
0004000000096200	JNSP	NightSky
00040000000C2600	JCZJ	CRIMSON SHROUD クリムゾン シュラウド
00040000000C8600	JAPJ	AERO PORTER
00040000000B8600	AMME	American Mensa Academy™
00040000000C8400	JBKJ	レンタル武器屋deオマッセ
0004000000099F00	TA6J	パックマン
00040000000BC000	JAPE	AERO PORTER
0004000000089E00	AREW	超級瑪利歐 3D樂園
00040000000BB200	JDPP	Dress To Play: Cute Witches!
00040000000B6C00	AK7J	オレ様キングダム イケメン彼氏をゲットしよ! もえキュン♥スクールデイズ
00040000000C1C00	APIJ	オシャレでかわいい 子犬と遊ぼ!-海編-
00040000000B3A00	ARLJ	ねらって!とばして!リラックマ ぐらぐらスイーツタワー
00040000000ACA00	AT6J	トリコ グルメモンスターズ!
00040000000A4200	TBHJ	ダウンタウン熱血物語
00040000000A1500	TBFJ	ロックマン6 史上最大の戦い!!
00040000000A6700	TBPJ	ソロモンの鍵
00040000000BB900	AYDJ	アクリルパレット ～彩りカフェ･Cheers～
00040000000A6400	TBNJ	スペランカー
000400000006D900	AELP	4 Elements
00040000000CB300	JC9K	피크로스 닌텐도 스페셜 다운로드에 관한 안내
00040000000C1100	AM8E	Murder on the Titanic
00040000000B6900	JYPJ	女家庭教師 伊都香先生と密室にいたら ○○しちゃうかもしれない。
000400000009BA00	GAQP	Vampire: Master of Darkness
0004000000099300	TA3P	BLASTER MASTER™
0004000000099600	TA4P	GHOSTS'N GOBLINS™
00040000000BC200	JAPP	AERO PORTER™ 
00040000000BCE00	JT4P	2 Fast 4 Gnomz
00040000000C5A00	MA8P	The 3D Machine Series: Episode 1
00040000000C5B00	MA9P	The 3D Machine Series: Episode 2
00040000000C5D00	MBBP	The 3D Machine Series: Episode 4
00040000000C5E00	MBCP	The 3D Machine Series: Episode 5
00040000000C5C00	MBAP	The 3D Machine Series: Episode 3
00040000000A1B00	ANPJ	イナズマイレブンGO2 クロノ･ストーン ネップウ
00040000000B4A00	AVCJ	とんがりボウシと魔法の町
00040000000A1C00	ARAJ	イナズマイレブンGO2 クロノ･ストーン ライメイ
00040000000C2400	JD8P	THE "DENPA" MEN: They Came By Wave
0004000000094700	TAXE	Ninja Gaiden®
0004000000094000	TAUE	Mighty Bomb Jack™
000400000009D000	ABVE	Ben 10 Omniverse
00040000000C4100	AK8Z	KOKUGA
00040000000BFF00	AN6J	ぼくは航空管制官 エアポートヒーロー3D 成田 with ANA
00040000000BE900	APFZ	펫츠 판타지 3D
00040000000BEB00	ARYZ	레이맨 3D
00040000000BAF00	JNNJ	忍スピリッツ 真田獣勇士伝
0004000E00065B00	AQBJ	更新データ Ver. 1.1 メダロット７ カブトVer.
0004000E00065A00	AQWJ	更新データ Ver. 1.1 メダロット７ クワガタVer.
00040000000C1F00	AN4Z	火影忍者 SD 力量全開疾風傳 (日文版)
00040000000BC800	AG7K	곤 와구와구 어드벤처
00040000000C0E00	AG8E	Gardenscapes
0004000000091700	ACGE	Classic Games Overload: Card & Puzzle Edition
00040000000BBF00	JCZE	CRIMSON SHROUD
0004000000099700	NABJ	レコチョク
000400000006D200	AFLJ	ファンタジーライフ
000400000008C800	JDQJ	ドラゴンクエストⅩ おでかけモシャスdeバトル
00040000000A6A00	TBQJ	ドルアーガの塔
00040000000BB800	AETJ	イナズマイレブン1･2･3!! 円堂守伝説
00040000000BFC00	JRKJ	りき伝説
00040000000C2500	AWKJ	おしごとテーマパーク2
0004000000094200	TAVJ	サマーカーニバル'92 烈火
00040000000C0500	AD3E	3D Game Collection
00040000000C9900	JKFJ	ジョニーカンフー
0004000000090700	ADAW	任天狗狗 + 貓貓 柴犬與新伙伴們
0004000000090800	ADBW	任天狗狗 + 貓貓 法國鬥牛犬與新伙伴們
0004000000090900	ADCW	任天狗狗 + 貓貓 玩具貴賓犬與新伙伴們
00040000000AFA00	JPXE	PIX3D
00040000000C8E00	JPQK	피크로스 닌텐도 스페셜
00040000000C3400	JMUJ	モンスターハンター3(トライ)G データ移行プログラム
00040000000B0300	JFDP	Fractured Soul
00040000000AFB00	JCXJ	チャリ走 DX
00040000000C9600	JRRJ	peakvox リリリズム
00040000000C3500	JUMJ	脱出アドベンチャー 魔女の住む館 
000400000008C200	JEVP	escapeVektor
00040000000AD300	JA2P	Hydroventure™: Spin Cycle
00040000000BE700	AMUE	Riding Stables 3D
0004000000086C00	JEVE	escapeVektor™
000400000007D800	QAJE	Wario Land™ II
0004000E00078B00	AVSJ	更新データ Ver. 1.1 レイトン教授VS逆転裁判
00040000000BF500	ACQK	쿠킹마마 마마와 나의 요리 시간 !
00040000000CA000	JT9J	バードマニア3D
00040000000C2700	AMZY	Mahjong 3D -  Warriors of the Emperor
00040000000C2000	JRFE	Reel Fishing® 3D Paradise Mini
00040000000C4E00	JUEZ	Tokyo Crash Mobs
00040000000C6300	JGCP	Gunman Clive
00040000000BE400	JEDJ	イナズマイレブン エブリデイ!!
000400000009A500	JHNE	Johnny Impossible™
00040000000C7200	JGWJ	ザ･ローリング･ウエスタン 最後の用心棒
0004000000086500	EGDK	튀어나와요 동물의 숲
00040000000BA300	JNAP	Nano Assault EX
0004000000094E00	TATE	Super Mario Bros.™: The Lost Levels
0004000000094400	TAWE	Mega Man™
00040000000AEC00	MAMP	The Beet Party: Jurassic Fridge
00040000000C9700	JSSJ	女剣士アカネ
00040000000C9800	JZSJ	ゾンビスレイヤー
00040000000B8F00	JGCE	Gunman Clive
000400000009EB00	JUCE	Unchained Blades
00040000000BEA00	ARBZ	엽기토끼 시간여행 3D
00040000000BEC00	ARMZ	레이맨 오리진
0004000E000A9800	AN9J	更新データ Ver. 1.1 nicola監修 モデル☆おしゃれオーディション プラチナ
00040000000B1D00	AMHP	Monster Hunter™ 3 Ultimate
00040000000C1500	JWAE	Wild Adventures: Ultimate Deer Hunt 3D
00040000000B8500	JDDE	101 DinoPets 3D
00040000000B8E00	JAHE	Air Battle Hockey 3D
00040000000B3400	TBXJ	ファミコンウォーズ
00040000000B6600	JTBP	Touch Battle Tank 3D
00040000000C5500	JB2J	ぶれいぶるー くろーんふぁんたずま
00040000000B3100	TBWJ	迷宮組曲 ミロンの大冒険
00040000000C1900	APMJ	おさわり探偵 なめこ大繁殖
00040000000C9300	JSHJ	3D スペースハリアー
00040000000A0500	AFEE	Fire Emblem™ Awakening
000400000006E700	TABJ	スーパーマリオブラザーズ3
000400000008FC00	ALLP	Sonic & All-Stars Racing Transformed™
0004000000088400	GAEP	Columns™ 
00040000000B2C00	TBTJ	メタルマックス
00040000000B2D00	TBUJ	シティコネクション
00040000000ADC00	JZAJ	AZITO 3D Osaka
00040000000C4200	ARTZ	Rhythm Thief & the Emperor’s Treasure™
00040000000C3200	AJCZ	35 Junior Games
00040000000C2C00	AF6Y	50 Classic Games 3D
0004000E0006D200	AFLJ	更新データ Ver. 1.7 ファンタジーライフ
00040000000B2600	RCCJ	ピンボール66匹のワニ大行進
0004000E0005D100	ACLJ	更新データ Ver. 1.2 わがままファッション GIRLS MODE よくばり宣言!
00040000000A7C00	AJEF	Jewel Master Cradle Of Egypt 2 3D
00040000000C3100	AM5Y	Mahjong Mysteries - Ancient Athena
00040000000C7100	JMUP	Monster Hunter™ 3 Ultimate Data Transfer Program
000400000009DC00	TA8P	Castlevania™
00040000000B7000	TB6J	びっくり熱血新記録!はるかなる金メダル
00040000000B3000	TBVJ	マドゥーラの翼
00040000000B5600	TBYJ	ダブルドラゴン
00040000000B3C00	ASRE	Brain Age™: Concentration Training
000400000006CE00	AJ4P	Jewel Quest 4 Heritage
0004000E000A1B00	ANPJ	更新データ Ver. 1.3 イナズマイレブン GO2 クロノ･ストーン ネップウ
0004000E000A1C00	ARAJ	更新データ Ver. 1.3 イナズマイレブン GO2 クロノ･ストーン ライメイ
00040000000C9200	JKAJ	レイトン教授と奇跡の仮面プラス
00040000000B5C00	TB2J	月風魔伝
00040000000C3B00	AU9J	パチパラ3D デラックス海物語 ～パチプロ風雲録･花 孤島の勝負師たち～
00040000000BF400	AB7E	Cocoto Alien Brick Breaker
00040000000BCB00	JUEE	Tokyo Crash Mobs™
00040000000C9F00	JSXJ	スピードX3D
000400000008AC00	RBYE	Kirby's Star Stacker™
00040000000BA800	APDE	Pokémon Mystery Dungeon: Gates to Infinity
000400000009E500	ACFP	Castlevania: Lords of Shadow Mirror of Fate
0004000000098000	GANJ	アーリエル クリスタル伝説
00040000000C0100	ALMJ	マギ はじまりの迷宮
00040000000C4300	JKCE	Ikachan
00040000000CBC00	JP2P	PICROSS e2
00040000000BFD00	JUWJ	@SIMPLE DLシリーズ Vol.7 THE 浮気彼氏 ～突撃!浮気現場～
00040000000C9500	JMYJ	peakvox ミュウミュウトレイン
0004000000098300	GARJ	ぷよぷよ
0004000000065E00	AD7J	ドラゴンクエストⅦ エデンの戦士たち
00040000000CD600	JH4Z	Sudoku by Nikoli
00040000000BD300	ASJE	Etrian Odyssey™ IV: Legends of the Titan
000400000009E100	TBAE	Super C™
0004000000088A00	AMXJ	真･女神転生Ⅳ
0004000E000A9000	ACLP	New Style Boutique™ Update
00040000000B4600	NACJ	いっしょにフォト スーパーマリオ
00040000000AEF00	MAQP	The Beet Party: Beet Scratch
0004000000055F00	AGGE	Luigi's Mansion™: Dark Moon 
00040000000CFD00	AVHZ	SENRAN KAGURA Burst
000400000009A100	TA6P	PAC-MAN™
000400000009B700	GAJP	Defenders of Oasis™
000400000009DF00	TA9P	Dig Dug
00040000000C0200	AL6J	レイトン教授と超文明Aの遺産
00040000000AD900	ADGJ	ドラゴンボールヒーローズ アルティメットミッション
00040000000B5D00	TB3J	いっき
00040000000B5900	TBZJ	沙羅曼蛇
00040000000C8000	ASCY	톰 클랜시의 스플린터 셀 3D
00040000000BA400	JBLE	Bloody Vampire
00040000000C2100	JBGE	Witch’s Cat
00040000000CA100	JKGJ	クレイジーカンガルー
00040000000C7700	ARHY	Real Heroes: Firefighter 3D Download Version
000400000008B200	JC2E	Coaster Creator 3D
0004000E000A9100	ACLE	Style Savvy: Trendsetters Update Ver. 1.1
0004000000096600	ACFE	Castlevania: Lords of Shadow - Mirror of Fate
0004000000080A00	ANRW	星際火狐64 3D
00040000000C8900	JHSK	짜릿! 우물로 드롭
00040000000C6A00	ALBK	레고 배트맨2: DC 슈퍼 히어로즈
000400000009F100	AFEP	Fire Emblem™: Awakening
00040000000AA000	MAJJ	ひつじのショーン3D 第1巻
0004000000099900	TA5E	Mega Man™ 2
00040000000AA300	MAKJ	ひつじのショーン3D 第2巻
00040000000AA400	MALJ	ひつじのショーン3D 第3巻
00040000000D1B00	MBDJ	ひつじのショーン3D 第4巻
00040000000D1C00	MBEJ	ひつじのショーン3D 第5巻
00040000000B0700	AWTE	Pro Evolution Soccer 2013 3D
00040000000D0C00	JNCJ	にかくでスッシー
0004000000099400	TA4J	魔界村
00040000000C4400	AN4P	NARUTO Powerful Shippuden
00040000000C8D00	AH5P	Monster High Skultimate Roller Maze
000400000008CB00	APIP	Petz® Beach
00040000000CF700	AD9J	ドラえもん のび太のひみつ道具博物館
00040000000BAC00	ACFJ	Castlevania - Lords of Shadow - 宿命の魔鏡
000400000006AC00	ARCJ	みんなでオートレース3D
0004000000078A00	AS6J	スーパーロボット大戦UX
000400000009DE00	TA9E	DIG DUG™
00040000000C7F00	AGRZ	톰 클랜시의 고스트 리콘 섀도우 워즈
000400000003CF00	AN4E	NARUTO™ Powerful Shippuden
00040000000C5100	JPDE	Picdun 2: Witch's Curse
0004000000090200	JVYE	Viking Invasion 2 - Tower Defense
00040000000B5E00	TB4J	ドンキーコング3
00040000000BDD00	TCCJ	チャレンジャー
00040000000CA500	TCJJ	がんばれゴエモン!からくり道中
00040000000D8900	JMNJ	クレイジーチキン パイレーツ3D
00040000000D9B00	SN8E	Donkey Kong Country Returns 3D Nintendo Direct 2.14.2013
00040000000D9A00	SN7P	Donkey Kong Country™ Returns 3D: Trailer
0004000000058B00	QACJ	ゼルダの伝説 ふしぎの木の実 大地の章
0004000000058E00	QADJ	ゼルダの伝説 ふしぎの木の実 時空の章
00040000000B9600	SNZJ	Nintendo 3DS Direct 2013.2.14 ドンキーコング リターンズ 3D
00040000000BFA00	JPCJ	マンションパーカッション
00040000000D7A00	JUDJ	@SIMPLE DLシリーズ Vol.8 THE 浮気彼氏 ～浮気の代償～
00040000000AE400	AMHE	Monster Hunter™ 3 Ultimate
00040000000B9700	SN2J	Nintendo 3DS Direct 2.21 Castlevania - Lords of Shadow
00040000000D9100	SN5J	Nintendo 3DS Direct 2.21 レイトン教授と超文明Aの遺産
00040000000D9200	SN6J	Nintendo 3DS Direct 2.21 スーパーロボット大戦UX
0004000000076400	AGGJ	ルイージマンション2
00040000000D0D00	JKEJ	怪獣が出る金曜日
00040000000C8800	JHSP	Splash or Crash™
00040000000D0E00	JDMJ	宇宙船ダムレイ号
00040000000D0F00	JS4J	虫けら戦車
00040000000C0F00	AM5E	Mahjong Mysteries - Ancient Athena
